,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_variability
f0_cv,0.2687019813220642,-0.1649497211260241,0.1356193536034982,0.1096479147325318
f0_std,-0.0030661242109428,0.1871570625568835,-0.1948899133719732,-0.1255622852703931
jitter_local,0.4479416817408622,-0.1791454366936708,0.1260770271975872,0.232702601978873
speech_rate,0.2469467298313598,0.1049406385355832,-0.1430667432879435,-0.1461808315529334
pause_frequency,-0.0455933531178551,-0.0306085653744984,0.0381368639730604,-0.0930269012292418
acoustic_volatility_index,0.1526773705698785,0.0577126533764023,-0.080972391636473,0.1000334855319879
