,f0_cv,f0_std,pause_frequency,jitter_local
f0_cv,0.0,0.012353344248986577,0.0037511548388945055,0.0066643159488894085
f0_std,0.012353344248986577,0.0,0.2654371983998949,0.4020460508995656
pause_frequency,0.0037511548388945055,0.2654371983998949,0.0,0.1658678172869009
jitter_local,0.0066643159488894085,0.4020460508995656,0.1658678172869009,0.0
