,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_variability
f0_cv,0.26870198132206424,-0.16494972112602418,0.1356193536034982,0.1096479147325318
f0_std,-0.0030661242109428825,0.18715706255688352,-0.19488991337197326,-0.1255622852703931
jitter_local,0.44794168174086224,-0.1791454366936708,0.12607702719758726,0.23270260197887307
speech_rate,0.2469467298313598,0.10494063853558325,-0.14306674328794358,-0.14618083155293343
pause_frequency,-0.04559335311785519,-0.030608565374498433,0.038136863973060424,-0.09302690122924183
acoustic_volatility_index,0.15267737056987857,0.05771265337640232,-0.08097239163647302,0.10003348553198792
