,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_variability
f0_cv,-0.7449477606815074,0.3565170855250543,-0.20372425171433375,-0.999162585234957
f0_std,0.5960989711644347,0.963011852531371,-0.9935709561083348,-0.13224511127926564
jitter_local,-0.9982019242099561,-0.413030677481203,0.5523296437747928,-0.6739570722416798
speech_rate,0.9999972343775908,0.35550151880762454,-0.4993318897017343,0.7186652255911572
pause_frequency,-0.5554901840030566,0.5778089052552784,-0.4409569809362409,-0.9779105451559464
acoustic_volatility_index,0.6831621023749519,-0.4375839051312047,0.2893359169785931,0.9988746963203248
