,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_variability
f0_cv,0.3992988966588836,0.8214561718961634,-0.7467106213289654,0.21617842409467192
f0_std,0.5556163448614987,0.9095964986808653,-0.8528686188287282,0.3859622864028372
jitter_local,0.2895334173983543,0.7492620753057732,-0.6639511085078751,0.10071491723050889
speech_rate,-0.28065370603240736,0.26550982186520383,-0.147337450048941,-0.4594079190042192
pause_frequency,-0.7986380423550928,-0.3633125113293159,0.47298690012691,-0.8991756859755072
acoustic_volatility_index,0.995717131644124,0.8957755320447235,-0.9428324783717392,0.9595384971538421
