,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_variability
f0_cv,0.8873183674126784,0.8873183674126784,0.8873183674126784,0.8873183674126784
f0_std,0.9886552725246713,0.8873183674126784,0.8873183674126784,0.8873183674126784
jitter_local,0.6757418267554756,0.8873183674126784,0.8873183674126784,0.8873183674126784
speech_rate,0.8873183674126784,0.8873183674126784,0.8873183674126784,0.8873183674126784
pause_frequency,0.9256663100987849,0.9256663100987849,0.9256663100987849,0.8873183674126784
acoustic_volatility_index,0.8873183674126784,0.9256663100987849,0.8928309109081858,0.8873183674126784
