,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_variability
f0_cv,0.2042281902991634,0.4411542324569612,0.5274794019393532,0.610030822574765
f0_std,0.9886552725246713,0.3811892865437705,0.36145993546817956,0.5588094086496803
jitter_local,0.028155909448144813,0.4022633716933347,0.557185707690838,0.2738426979640028
speech_rate,0.2446951571811331,0.6255437922872389,0.5048301055423836,0.49550301909375516
pause_frequency,0.8324607266974695,0.8870968805113355,0.8595697767747241,0.6654887755595088
acoustic_volatility_index,0.47632437652989557,0.7888049073657261,0.7068244711356471,0.6418811794701433
