rating_outcome,count,avg_f0_cv,avg_f0_std,avg_pause_frequency,avg_jitter_local,avg_sentiment_positive,avg_sentiment_negative,avg_sentiment_neutral,avg_sentiment_variability,avg_acoustic_semantic_alignment,avg_f0_cv_percentile,avg_f0_std_percentile,avg_pause_frequency_percentile,avg_jitter_local_percentile,avg_sentiment_positive_percentile,avg_sentiment_negative_percentile,avg_sentiment_neutral_percentile,avg_sentiment_variability_percentile,avg_acoustic_semantic_alignment_percentile,avg_f0_cv_mad_effect,avg_f0_std_mad_effect,avg_pause_frequency_mad_effect,avg_jitter_local_mad_effect,avg_sentiment_positive_mad_effect,avg_sentiment_negative_mad_effect,avg_sentiment_neutral_mad_effect,avg_sentiment_variability_mad_effect,avg_acoustic_semantic_alignment_mad_effect
affirm,6,0.5712742976888632,0.6473459133139802,0.46485408449800514,0.3902471277315101,0.3627926163437871,0.5467300784372465,0.44543695130690103,0.5522162180224831,0.5899543328213371,54.166666666666664,57.29166666666666,42.36111111111111,42.013888888888886,56.25000000000001,54.86111111111111,40.97222222222222,50.0,50.69444444444445,0.1470750171479341,0.2963605519406162,-0.16523159327264303,-0.0494305614362052,0.5369045455077781,0.6480190381981016,-0.6239926141764682,-1.7406460059314777,-0.5204711762514093
downgrade,2,0.2372884737488299,1.0,0.507200255680412,0.3815094136392494,0.0163185538774058,0.698682311506293,0.3267497743659355,0.4404542543611458,0.76579465980365,39.58333333333333,87.5,43.75,43.75,22.916666666666664,77.08333333333334,22.916666666666664,18.75,52.083333333333336,-0.5421070916337928,1.0056626114532945,-0.0716694209971988,-0.07071400822873519,-1.182334698305017,1.495513251011682,-1.2849015666146704,-2.886943854967488,0.23965729287251117
upgrade,2,1.0,1.0,1.0,1.0,0.0968242942261462,0.9221655840413698,0.0722272080905691,0.2448439364528232,0.2864939915175951,87.5,87.5,87.5,87.5,31.25,89.58333333333334,10.416666666666668,10.416666666666668,10.416666666666668,1.0317535347031206,1.0056626114532945,1.0171519124998871,1.4358140547745073,-0.7828570947739082,2.741962719431503,-2.702209206618655,-4.893240803605742,-1.8322797279850394
